state,numberold,numbernew,pctchange
Alabama,52588,48868,-7.1
Alaska,66597,68138,2.3
Arizona,52894,47403,-10.4
Arkansas,47854,48616,1.6
California,68342,78711,15.2
Colorado,54701,46506,-15.0
Connecticut,74219,72561,-2.2
Delaware,63691,60214,-5.5
District of Columbia,67477,76131,12.8
Florida,52636,49407,-6.1
Georgia,58801,54602,-7.1
Hawaii,58163,57674,-0.8
Idaho,50952,47504,-6.8
Illinois,66631,61602,-7.5
Indiana,59986,50554,-15.7
Iowa,51139,55443,8.4
Kansas,50140,47984,-4.3
Kentucky,52146,52339,0.4
Louisiana,47457,50000,5.4
Maine,50972,51077,0.2
Maryland,63137,66961,6.1
Massachusetts,66766,77804,16.5
Michigan,70298,62200,-11.5
Minnesota,57051,57346,0.5
Mississippi,45662,42925,-6.0
Missouri,51108,48293,-5.5
Montana,46041,51422,11.7
Nebraska,47641,52338,9.9
Nevada,56460,57376,1.6
New Hampshire,54086,57253,5.9
New Jersey,74556,69623,-6.6
New Mexico,46662,47500,1.8
New York,73130,79637,8.9
North Carolina,56480,49837,-11.8
North Dakota,42804,51618,20.6
Ohio,59393,57000,-4.0
Oklahoma,44861,45245,0.9
Oregon,60683,61631,1.6
Pennsylvania,69261,65863,-4.9
Rhode Island,67427,66477,-1.4
South Carolina,51717,48598,-6.0
South Dakota,41669,42668,2.4
Tennessee,52071,48456,-6.9
Texas,53847,52575,-2.4
Utah,50090,47244,-5.7
Vermont,54121,60187,11.2
Virginia,55534,51049,-8.1
Washington,58829,54147,-8.0
West Virginia,50180,45701,-8.9
Wisconsin,58987,54998,-6.8
Wyoming,48916,58650,19.9
